game_num,opp_name,hm_score,opp_score,hm_ast,opp_ast,hm_rb,opp_rb,hm_fg,opp_fg,game_date,type
1,BOS,121,122,19,23,52,37,0.511,0.475,2020-12-23,reg
2,GSW,138,99,25,14,60,43,0.556,0.343,2020-12-25,reg
3,NYK,110,130,24,27,44,46,0.432,0.541,2020-12-27,reg
4,MIA,144,97,32,23,45,30,0.554,0.468,2020-12-29,reg
5,MIA,108,119,26,25,47,52,0.392,0.488,2020-12-30,reg
6,CHI,126,96,27,18,44,42,0.494,0.437,2021-01-01,reg
7,DET,125,115,32,27,49,31,0.576,0.439,2021-01-04,reg
8,DET,130,115,35,20,47,47,0.544,0.392,2021-01-06,reg
9,UTA,118,131,18,31,45,50,0.449,0.505,2021-01-08,reg
10,CLE,100,90,25,16,45,47,0.440,0.414,2021-01-09,reg
11,ORL,121,99,25,24,43,44,0.505,0.429,2021-01-11,reg
12,DET,110,101,31,25,48,47,0.482,0.391,2021-01-13,reg
13,DAL,112,109,22,22,57,51,0.448,0.464,2021-01-15,reg
14,BRK,123,125,21,26,41,49,0.438,0.548,2021-01-18,reg
15,LAL,106,113,27,25,46,38,0.506,0.466,2021-01-21,reg
16,ATL,129,115,32,27,52,27,0.549,0.506,2021-01-24,reg
17,TOR,115,108,30,26,59,46,0.430,0.404,2021-01-27,reg
18,NOP,126,131,29,32,49,45,0.500,0.469,2021-01-29,reg
19,CHO,114,126,22,32,46,41,0.488,0.478,2021-01-30,reg
20,POR,134,106,38,19,53,45,0.552,0.375,2021-02-01,reg
21,IND,130,110,33,28,53,46,0.471,0.453,2021-02-03,reg
22,CLE,123,105,28,23,54,36,0.515,0.446,2021-02-05,reg
23,CLE,124,99,25,21,43,40,0.547,0.453,2021-02-06,reg
24,DEN,125,112,24,22,50,38,0.506,0.436,2021-02-08,reg
25,PHO,124,125,23,25,39,47,0.506,0.529,2021-02-10,reg
26,UTA,115,129,19,22,33,46,0.457,0.524,2021-02-12,reg
27,OKC,109,114,24,32,47,49,0.464,0.474,2021-02-14,reg
28,TOR,113,124,25,25,41,44,0.482,0.505,2021-02-16,reg
29,TOR,96,110,23,26,52,37,0.398,0.487,2021-02-18,reg
30,OKC,98,85,23,20,61,46,0.407,0.365,2021-02-19,reg
31,SAC,128,115,22,29,56,43,0.489,0.440,2021-02-21,reg
32,MIN,139,112,33,35,52,43,0.535,0.429,2021-02-23,reg
33,NOP,129,125,21,32,42,47,0.542,0.500,2021-02-25,reg
34,LAC,105,100,21,20,48,49,0.447,0.412,2021-02-28,reg
35,DEN,97,128,22,28,40,45,0.405,0.558,2021-03-02,reg
36,MEM,112,111,21,21,52,56,0.442,0.396,2021-03-04,reg
37,NYK,134,101,29,19,43,38,0.575,0.420,2021-03-11,reg
38,WAS,125,119,33,25,57,41,0.434,0.457,2021-03-13,reg
39,WAS,133,122,29,34,46,33,0.553,0.506,2021-03-15,reg
40,PHI,109,105,22,28,58,59,0.406,0.394,2021-03-17,reg
41,SAS,120,113,24,29,49,41,0.489,0.479,2021-03-20,reg
42,IND,140,113,35,27,55,40,0.564,0.405,2021-03-22,reg
43,BOS,121,119,19,24,46,38,0.500,0.479,2021-03-24,reg
44,BOS,114,122,24,27,49,44,0.444,0.489,2021-03-26,reg
45,NYK,96,102,21,28,48,44,0.414,0.430,2021-03-27,reg
46,LAC,105,129,18,25,32,46,0.469,0.537,2021-03-29,reg
47,LAL,112,97,23,22,42,40,0.532,0.402,2021-03-31,reg
48,POR,127,109,25,19,50,45,0.544,0.364,2021-04-02,reg
49,SAC,129,128,31,31,47,40,0.538,0.495,2021-04-03,reg
50,GSW,121,122,25,28,40,42,0.512,0.479,2021-04-06,reg
51,DAL,101,116,16,23,52,56,0.380,0.443,2021-04-08,reg
52,CHO,119,127,23,35,48,49,0.449,0.484,2021-04-09,reg
53,ORL,124,87,28,19,56,37,0.489,0.372,2021-04-11,reg
54,MIN,130,105,26,22,52,47,0.469,0.370,2021-04-14,reg
55,ATL,120,109,25,23,51,39,0.484,0.453,2021-04-15,reg
56,MEM,115,128,27,31,45,43,0.429,0.548,2021-04-17,reg
